date,zip,confirmed_cases,total_tested,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-7-18,60002,131,1975,0,14,20,24,26,22,19,0,0,69,62,0,59,8,28,0,0,29,0,0
2020-7-18,60004,409,9684,0,36,66,58,61,65,42,27,50,180,201,28,123,10,162,21,18,74,0,0
2020-7-18,60005,257,4922,0,20,43,42,41,36,26,20,29,118,139,0,71,13,97,12,10,53,0,0
2020-7-18,60007,384,4288,0,18,40,37,49,52,52,54,82,179,202,0,125,0,166,15,12,58,0,0
2020-7-18,60008,386,4766,0,32,46,70,81,75,50,22,10,201,182,0,68,0,143,12,6,152,0,0
2020-7-18,60010,242,4802,0,39,41,26,20,43,30,16,27,129,112,0,106,0,109,8,8,9,0,0
2020-7-18,60012,98,1070,0,0,9,0,6,15,0,13,43,45,52,0,72,0,11,0,0,8,0,0
2020-7-18,60013,163,2108,0,17,30,26,23,34,25,0,0,72,91,0,95,0,14,0,0,49,0,0
2020-7-18,60014,379,4858,0,43,48,63,63,55,44,25,38,162,215,0,224,11,16,0,11,113,0,0
2020-7-18,60015,215,3688,0,13,24,19,28,32,23,31,45,88,127,0,147,7,25,15,11,9,0,0
2020-7-18,60016,1198,9761,0,64,198,177,181,223,192,75,87,575,596,27,270,57,328,117,192,219,7,8
2020-7-18,60018,718,5755,0,43,126,107,132,112,77,41,80,339,364,15,129,14,253,26,29,263,0,0
2020-7-18,60020,51,1219,0,0,6,11,11,10,8,0,0,21,29,0,21,0,15,0,0,8,0,0
2020-7-18,60021,31,436,0,0,8,0,0,11,0,0,0,11,20,0,24,0,0,0,0,0,0,0
2020-7-18,60022,41,1012,0,8,10,0,0,11,0,0,0,23,18,0,28,0,0,0,0,0,0,0
2020-7-18,60025,461,5904,0,53,61,46,93,85,50,29,44,224,214,23,210,7,87,51,48,54,0,0
2020-7-18,60026,195,3727,0,20,17,18,20,28,14,21,57,71,112,12,87,0,42,23,26,12,0,0
2020-7-18,60029,12,124,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2020-7-18,60030,234,4366,0,25,59,32,31,36,29,13,9,112,116,6,109,13,25,12,8,65,0,0
2020-7-18,60031,396,5531,0,41,83,65,51,69,40,19,28,173,219,0,132,50,43,23,26,118,0,0
2020-7-18,60033,248,1801,0,37,41,46,55,39,16,9,0,115,131,0,40,0,6,0,0,197,0,0
